Checkpoint Frequency: 120
Date of Dataset Used: 20250221_augmented
Learning Rate: 1e-05
Iterations: 1200


Loaded base model.

Epoch: [0][0/69]	Batch Time 27.919 (27.919)	Data Time 23.999 (23.999)	Loss 31.2003 (31.2003)	
Epoch: [1][0/69]	Batch Time 35.454 (35.454)	Data Time 31.323 (31.323)	Loss 18.3954 (18.3954)	
Epoch: [2][0/69]	Batch Time 31.700 (31.700)	Data Time 27.165 (27.165)	Loss 17.8096 (17.8096)	
Epoch: [3][0/69]	Batch Time 34.375 (34.375)	Data Time 28.905 (28.905)	Loss 15.1982 (15.1982)	
Epoch: [4][0/69]	Batch Time 27.551 (27.551)	Data Time 23.054 (23.054)	Loss 15.3744 (15.3744)	
Epoch: [5][0/69]	Batch Time 44.774 (44.774)	Data Time 40.437 (40.437)	Loss 14.6376 (14.6376)	
Epoch: [6][0/69]	Batch Time 31.591 (31.591)	Data Time 27.209 (27.209)	Loss 14.6700 (14.6700)	
Epoch: [7][0/69]	Batch Time 34.940 (34.940)	Data Time 30.496 (30.496)	Loss 14.6508 (14.6508)	
Epoch: [8][0/69]	Batch Time 32.716 (32.716)	Data Time 28.247 (28.247)	Loss 13.8769 (13.8769)	
Epoch: [9][0/69]	Batch Time 27.218 (27.218)	Data Time 21.710 (21.710)	Loss 13.9305 (13.9305)	
Epoch: [10][0/69]	Batch Time 30.276 (30.276)	Data Time 25.867 (25.867)	Loss 13.6339 (13.6339)	
Epoch: [11][0/69]	Batch Time 26.777 (26.777)	Data Time 22.497 (22.497)	Loss 13.3562 (13.3562)	
Epoch: [12][0/69]	Batch Time 27.713 (27.713)	Data Time 23.187 (23.187)	Loss 13.9577 (13.9577)	
Epoch: [13][0/69]	Batch Time 40.194 (40.194)	Data Time 35.620 (35.620)	Loss 13.2242 (13.2242)	
Epoch: [14][0/69]	Batch Time 28.451 (28.451)	Data Time 23.661 (23.661)	Loss 14.1273 (14.1273)	
Epoch: [15][0/69]	Batch Time 30.115 (30.115)	Data Time 25.778 (25.778)	Loss 13.2158 (13.2158)	
Epoch: [16][0/69]	Batch Time 27.103 (27.103)	Data Time 21.955 (21.955)	Loss 13.4930 (13.4930)	
Epoch: [17][0/69]	Batch Time 26.550 (26.550)	Data Time 21.797 (21.797)	Loss 13.0747 (13.0747)	
Epoch: [18][0/69]	Batch Time 32.912 (32.912)	Data Time 27.321 (27.321)	Loss 12.8367 (12.8367)	
Epoch: [19][0/69]	Batch Time 41.590 (41.590)	Data Time 37.381 (37.381)	Loss 13.3775 (13.3775)	

Loaded checkpoint from epoch 20.

Epoch: [20][0/69]	Batch Time 21.961 (21.961)	Data Time 18.113 (18.113)	Loss 13.0299 (13.0299)	
Epoch: [21][0/69]	Batch Time 32.877 (32.877)	Data Time 27.987 (27.987)	Loss 12.8879 (12.8879)	
