
Loaded base model.

Checkpoint Frequency: 120
Date of Dataset Used: 20250221
Learning Rate: 1e-5
Iterations: 1200

Epoch: [0][0/17]	Batch Time 31.826 (31.826)	Data Time 27.791 (27.791)	Loss 26.1542 (26.1542)	
Epoch: [1][0/17]	Batch Time 29.516 (29.516)	Data Time 25.734 (25.734)	Loss 23.6186 (23.6186)	
Epoch: [2][0/17]	Batch Time 53.831 (53.831)	Data Time 49.080 (49.080)	Loss 20.3550 (20.3550)	
Epoch: [3][0/17]	Batch Time 37.805 (37.805)	Data Time 33.021 (33.021)	Loss 18.8453 (18.8453)	
Epoch: [4][0/17]	Batch Time 37.454 (37.454)	Data Time 33.051 (33.051)	Loss 18.8865 (18.8865)	
Epoch: [5][0/17]	Batch Time 47.051 (47.051)	Data Time 42.234 (42.234)	Loss 18.3359 (18.3359)	
Epoch: [6][0/17]	Batch Time 36.334 (36.334)	Data Time 31.389 (31.389)	Loss 16.8314 (16.8314)	
Epoch: [7][0/17]	Batch Time 37.842 (37.842)	Data Time 32.453 (32.453)	Loss 17.8990 (17.8990)	
Epoch: [8][0/17]	Batch Time 35.407 (35.407)	Data Time 29.045 (29.045)	Loss 16.9091 (16.9091)	
Epoch: [9][0/17]	Batch Time 34.960 (34.960)	Data Time 29.726 (29.726)	Loss 16.9702 (16.9702)	
Epoch: [10][0/17]	Batch Time 42.702 (42.702)	Data Time 37.046 (37.046)	Loss 16.9058 (16.9058)	
Epoch: [11][0/17]	Batch Time 36.946 (36.946)	Data Time 32.034 (32.034)	Loss 16.8582 (16.8582)	
Epoch: [12][0/17]	Batch Time 42.454 (42.454)	Data Time 37.335 (37.335)	Loss 16.1368 (16.1368)	
Epoch: [13][0/17]	Batch Time 39.138 (39.138)	Data Time 33.993 (33.993)	Loss 16.4389 (16.4389)	
Epoch: [14][0/17]	Batch Time 56.162 (56.162)	Data Time 51.098 (51.098)	Loss 16.1797 (16.1797)	
Epoch: [15][0/17]	Batch Time 34.892 (34.892)	Data Time 29.602 (29.602)	Loss 15.7179 (15.7179)	
Epoch: [16][0/17]	Batch Time 41.213 (41.213)	Data Time 36.246 (36.246)	Loss 16.1512 (16.1512)	
Epoch: [17][0/17]	Batch Time 35.518 (35.518)	Data Time 30.490 (30.490)	Loss 15.0693 (15.0693)	
Epoch: [18][0/17]	Batch Time 39.161 (39.161)	Data Time 34.115 (34.115)	Loss 14.8624 (14.8624)	
Epoch: [19][0/17]	Batch Time 41.460 (41.460)	Data Time 36.387 (36.387)	Loss 14.8640 (14.8640)	
Epoch: [20][0/17]	Batch Time 38.239 (38.239)	Data Time 33.065 (33.065)	Loss 14.8505 (14.8505)	
Epoch: [21][0/17]	Batch Time 55.844 (55.844)	Data Time 50.994 (50.994)	Loss 14.7214 (14.7214)	
Epoch: [22][0/17]	Batch Time 35.184 (35.184)	Data Time 30.264 (30.264)	Loss 14.4042 (14.4042)	
Epoch: [23][0/17]	Batch Time 33.678 (33.678)	Data Time 29.434 (29.434)	Loss 13.8292 (13.8292)	
Epoch: [24][0/17]	Batch Time 34.048 (34.048)	Data Time 28.633 (28.633)	Loss 14.4884 (14.4884)	
Epoch: [25][0/17]	Batch Time 34.777 (34.777)	Data Time 31.002 (31.002)	Loss 14.3194 (14.3194)	
Epoch: [26][0/17]	Batch Time 35.693 (35.693)	Data Time 31.749 (31.749)	Loss 15.3484 (15.3484)	
Epoch: [27][0/17]	Batch Time 29.744 (29.744)	Data Time 25.538 (25.538)	Loss 14.0999 (14.0999)	
Epoch: [28][0/17]	Batch Time 34.180 (34.180)	Data Time 30.489 (30.489)	Loss 13.6436 (13.6436)	
Epoch: [29][0/17]	Batch Time 32.205 (32.205)	Data Time 27.950 (27.950)	Loss 14.2734 (14.2734)	
Epoch: [30][0/17]	Batch Time 35.153 (35.153)	Data Time 31.009 (31.009)	Loss 14.7469 (14.7469)	
Epoch: [31][0/17]	Batch Time 34.784 (34.784)	Data Time 29.403 (29.403)	Loss 13.8367 (13.8367)	
Epoch: [32][0/17]	Batch Time 38.484 (38.484)	Data Time 33.148 (33.148)	Loss 15.0272 (15.0272)	
Epoch: [33][0/17]	Batch Time 35.822 (35.822)	Data Time 31.076 (31.076)	Loss 13.7759 (13.7759)	
Epoch: [34][0/17]	Batch Time 29.871 (29.871)	Data Time 25.351 (25.351)	Loss 14.2600 (14.2600)	
Epoch: [35][0/17]	Batch Time 31.637 (31.637)	Data Time 26.173 (26.173)	Loss 13.9955 (13.9955)	
Epoch: [36][0/17]	Batch Time 40.798 (40.798)	Data Time 33.818 (33.818)	Loss 14.3707 (14.3707)	
Epoch: [37][0/17]	Batch Time 59.804 (59.804)	Data Time 54.098 (54.098)	Loss 14.2066 (14.2066)	
Epoch: [38][0/17]	Batch Time 38.236 (38.236)	Data Time 33.181 (33.181)	Loss 13.2093 (13.2093)	
Epoch: [39][0/17]	Batch Time 37.406 (37.406)	Data Time 32.656 (32.656)	Loss 14.1719 (14.1719)	
Epoch: [40][0/17]	Batch Time 37.130 (37.130)	Data Time 32.489 (32.489)	Loss 13.7596 (13.7596)	
Epoch: [41][0/17]	Batch Time 35.640 (35.640)	Data Time 30.447 (30.447)	Loss 13.6497 (13.6497)	
Epoch: [42][0/17]	Batch Time 35.854 (35.854)	Data Time 31.007 (31.007)	Loss 14.2947 (14.2947)	
Epoch: [43][0/17]	Batch Time 40.684 (40.684)	Data Time 35.831 (35.831)	Loss 14.1235 (14.1235)	
Epoch: [44][0/17]	Batch Time 36.962 (36.962)	Data Time 31.985 (31.985)	Loss 13.8694 (13.8694)	
Epoch: [45][0/17]	Batch Time 38.898 (38.898)	Data Time 33.818 (33.818)	Loss 13.8894 (13.8894)	
Epoch: [46][0/17]	Batch Time 40.351 (40.351)	Data Time 35.564 (35.564)	Loss 13.3425 (13.3425)	
Epoch: [47][0/17]	Batch Time 42.153 (42.153)	Data Time 37.379 (37.379)	Loss 13.9739 (13.9739)	
Epoch: [48][0/17]	Batch Time 34.454 (34.454)	Data Time 30.688 (30.688)	Loss 14.0613 (14.0613)	
Epoch: [49][0/17]	Batch Time 36.992 (36.992)	Data Time 33.082 (33.082)	Loss 13.0475 (13.0475)	
Epoch: [50][0/17]	Batch Time 32.141 (32.141)	Data Time 26.736 (26.736)	Loss 13.3521 (13.3521)	
Epoch: [51][0/17]	Batch Time 45.284 (45.284)	Data Time 41.263 (41.263)	Loss 13.1806 (13.1806)	
Epoch: [52][0/17]	Batch Time 34.354 (34.354)	Data Time 28.573 (28.573)	Loss 14.0697 (14.0697)	
Epoch: [53][0/17]	Batch Time 29.020 (29.020)	Data Time 24.940 (24.940)	Loss 13.9424 (13.9424)	
Epoch: [54][0/17]	Batch Time 32.036 (32.036)	Data Time 28.269 (28.269)	Loss 13.2509 (13.2509)	


Loaded checkpoint from epoch 55.

